Weather Station ID,Country,Name,Latitude,Longitude,Elevation,ICAO ID,WMO ID,IATA ID,Time Zone
2086,SE,Lainio,67.7667,22.35,317.0,,2086.0,,Europe/Stockholm
2091,SE,Kullen (lgt-H) / Mölle,56.3,12.45,72.0,,2091.0,,Europe/Stockholm
2092,SE,Muodoslompolo,67.95,23.4667,240.0,,2092.0,,Europe/Stockholm
2095,SE,Pajala / Kungsstrand,67.2036,23.39,164.0,,2095.0,,Europe/Stockholm
2101,SE,Palkem / Björkfors,65.8061,15.0828,458.0,,2101.0,,Europe/Stockholm
2102,SE,Stekenjokk / Stikkenjokk,65.0944,14.5086,1036.0,,2102.0,,Europe/Stockholm
2108,SE,Klimpfjall / Klimpfjäll,65.0667,14.8,593.0,,2108.0,,Europe/Stockholm
2109,SE,Abraur / Suddesjaur,65.9,19.1,342.0,,2109.0,,Europe/Stockholm
2110,SE,Gielas / Svallgonäs,65.3281,15.0689,577.0,,2110.0,,Europe/Stockholm
2112,SE,Vuoggatjalme / Vuoggatjålme,66.5667,16.35,500.0,,2112.0,,Europe/Stockholm
2114,SE,Norraker / Saxåmon,64.45,15.6,346.0,,2114.0,,Europe/Stockholm
2119,SE,Kvikkjokk Arrenjarka A / Njavve,66.8872,18.0197,315.0,,2119.0,,Europe/Stockholm
2121,SE,Mierkenis / Vuoggatjålme,66.6817,16.1089,614.0,,2121.0,,Europe/Stockholm
2123,SE,Edsbyn / Jutis,66.3242,17.0944,552.0,,2123.0,,Europe/Stockholm
2130,SE,Roparudden / Silpajåkk,66.4861,16.4172,481.0,,2130.0,,Europe/Stockholm
2135,SE,Buresjoen,65.5594,17.8603,393.0,,2135.0,,Europe/Stockholm
2136,SE,Storberg,65.5,18.95,454.0,,2136.0,,Europe/Stockholm
2147,SE,Malaa-Braennan / Släppträsk,65.1522,18.5975,363.0,,2147.0,,Europe/Stockholm
2149,SE,Arvidsjaur / Fjällbonäs,65.5953,19.2683,382.0,,2149.0,,Europe/Stockholm
2151,SE,Jokkmokk / Koskats,66.4833,20.1667,275.0,,2151.0,,Europe/Stockholm
2152,SE,Sudok,66.3,20.4167,174.0,,2152.0,,Europe/Stockholm
2161,SE,Nattavaara,66.7531,20.9283,328.0,,2161.0,,Europe/Stockholm
2164,SE,Palkem / Pålkem,66.3833,21.6333,263.0,,2164.0,,Europe/Stockholm
2172,SE,Alvsbyn / Övre Byn,65.6833,20.9667,50.0,,2172.0,,Europe/Stockholm
2173,SE,Aelvsbyn / Högheden,65.6703,21.0664,43.0,,2173.0,,Europe/Stockholm
2174,SE,Lakatraesk / Lakaträsk,66.2803,21.1331,185.0,,2174.0,,Europe/Stockholm
2184,SE,Paharova,66.8106,22.3364,228.0,,2184.0,,Europe/Stockholm
2190,SE,Korpilombolo,66.85,23.05,180.0,,2190.0,,Europe/Stockholm
2191,SE,Storoen / Storön,65.6983,23.1008,4.0,,2191.0,,Europe/Stockholm
2197,SE,Haparanda / Sundholmen,65.8236,24.1114,13.0,,2197.0,,Europe/Stockholm
2199,SE,Ylinenjaervi / Ylinenjärvi,66.6236,23.4681,132.0,,2199.0,,Europe/Stockholm
2207,SE,Storlien-Visjovalen / Visjövalen,63.2828,12.1219,583.0,,2207.0,,Europe/Stockholm
2210,SE,Blahammaren A / Blåhammaren,63.1864,12.1761,1090.0,,2210.0,,Europe/Stockholm
2216,SE,Mattmar / Bye,63.3056,13.8767,355.0,,2216.0,,Europe/Stockholm
